eic,name,tso,u_primary,u_secondary,imax,s_nom,r,x,b,g,theta,is_pst,x_physical
28T-0000001939-X,TR Krsko 412,ELES,115.0,400.0,1506.0,299.97387936285384,0.0799,5.4657,-5.05176,10.155,,False,True
28T-0000002124-C,TR Maribor 411,ELES,115.0,400.0,1506.0,299.97387936285384,0.097,5.6771,-121.489,15.667,,False,True
28T0000000001652,TR Maribor 412,ELES,115.0,400.0,1506.0,299.97387936285384,0.0782,5.9066,-7.94116,8.0983,,False,True
28T-0000002261-0,TR Okroglo 411,ELES,115.0,400.0,1506.0,299.97387936285384,0.1014,5.655,-94.0295,15.35,,False,True
28T-0000002262-Y,TR Okroglo 412,ELES,115.0,400.0,1506.0,299.97387936285384,0.0529,6.0656,-39.4009,10.715,,False,True
28T0000000001660,TR Podlog 411,ELES,115.0,400.0,1506.0,299.97387936285384,0.0775,5.8758,-35.3625,8.1739,,False,True
28T-0000002372-P,TR Podlog 211,ELES,115.0,400.0,753.0,149.98693968142692,0.3905,11.579,-51.3828,9.051,,False,True
28T-0000002373-M,TR Podlog 212,ELES,115.0,400.0,753.0,149.98693968142692,0.3905,11.579,-51.3828,9.051,,False,True
"28T-0000001569-4, 28T-0000001568-7",PST Divaca,ELES,400.0,400.0,1732.0,1199.964799483718,0.2,24.489,-5.16598,0.938,90.0,True,True
28T-0000002374-J,TR Podlog 421,ELES,231.0,400.0,1000.0,400.1037365484106,0.1955,15.807,-9.42377,2.4812,,False,True
28T-0000001565-G,TR Divaca 211,ELES,115.0,220.0,753.0,149.98693968142692,0.2998,12.031,-62.7778,9.656,,False,True
28T-0000001566-D,TR Divaca 212,ELES,115.0,220.0,753.0,149.98693968142692,0.3703,11.65,-62.7778,9.656,,False,True
28T-0000001567-A,TR Divaca 411,ELES,115.0,400.0,1506.0,299.97387936285384,0.0749,5.8891,-10.9223,8.121,,False,True
28T0000000002349,TR Divaca 412,ELES,115.0,400.0,1506.0,299.97387936285384,0.0793,5.8758,-7.79993,8.2344,,False,True
22T20211201AF--4,TR AUBANGE PST 1,ELIA,243.0,243.0,1686.9081939285365,710.0000000000001,0.1082545317,9.840905573399999,-5.069230638960864,1.4903,90.0,True,True
22T-BE-PST--001W,TR VAN EYCK PST 1,ELIA,400.0,400.0,2329.60833618014,1614.0000000000002,0.084256,10.501072,-2.02009375,1.2216,90.0,True,True
22T-BE-PST--002U,TR VAN EYCK PST 2,ELIA,400.0,400.0,2329.60833618014,1614.0000000000002,0.08380800000000001,10.489808,-0.39716874999999996,1.1773,90.0,True,True
22T-BE-PST--003S,TR ZANDVLIET PST 1,ELIA,400.0,400.0,2329.60833618014,1614.0000000000002,0.08648,10.639648,-2.03951875,1.1924,90.0,True,True
22T20161020---56,TR ZANDVLIET PST 2,ELIA,400.0,400.0,2329.60833618014,1614.0000000000002,0.08648,10.639648,-2.03951875,1.1924,90.0,True,True
22T-BE-PST--004Q,TR MONCEAU PST 1,ELIA,245.0,160.0,1122.0625741822053,476.1499999999999,0.2424949975,16.1847028175,-6.56411495210329,1.1962,90.0,True,True
22T20211201T---A,TR AUBANGE 380/220 TFO 1,ELIA,400.0,245.42,463.32359102467467,321.0,1.125872,82.232304,-1.8057562500000002,0.5048,,False,True
22T20211201V---0,TR AUBANGE 380/220 TFO 2,ELIA,400.0,245.46,463.32359102467467,321.0,1.00816,80.527024,-1.8021375,0.5176,,False,True
22T20211201W---W,TR BRUME 380/220 TFO 1,ELIA,400.0,245.42,463.32359102467467,321.0,1.1206880000000001,82.12568,-2.00081875,0.5006,,False,True
22T20211201X---R,TR LIXHE 380/220 TFO 11,ELIA,400.0,245.596,463.32359102467467,321.0,0.998368,78.068288,-0.7181562499999999,0.2162,,False,True
22T20211201Y---M,TR LIXHE 380/220 TFO 6,ELIA,400.0,245.596,463.32359102467467,321.0,0.99752,77.945616,-0.69955625,0.213,,False,True
22T20211201Z---H,TR RIMIERE 380/220 TFO 8,ELIA,400.0,245.46,463.32359102467467,321.0,1.018128,77.753328,-3.1429187499999998,0.5313,,False,True
22T20211201AA--O,TR RIMIERE 380/220 TFO 9,ELIA,400.0,245.42,463.32359102467467,321.0,0.6468,79.037,-0.91226,0.2161,,False,True
22T20211201AB--K,TR STEVIN 380/220 TFO 3,ELIA,400.0,225.0,926.6471820493493,642.0,0.366688,39.758304,-0.63120625,0.4051,,False,True
22T20211201AC--G,TR STEVIN 380/220 TFO 4,ELIA,400.0,225.0,926.6471820493493,642.0,0.370384,39.864944,-2.2135937500000002,0.4031,,False,True
22T20211201AD--C,TR STEVIN 380/220 TFO 5,ELIA,400.0,225.0,926.6471820493493,642.0,0.366928,39.838304,-0.11949375,0.3948,,False,True
22T20211201AE--8,TR STEVIN 380/220 TFO 6,ELIA,400.0,225.0,926.6471820493493,642.0,0.362896,39.785008,-0.63474375,0.3995,,False,True
22T202305111---Y,TR ZANDVLIET PST 3,ELIA,400.0,400.0,2329.60833618014,1614.0000000000002,0.1371,11.268,-1.98113,1.2216,90.0,True,True
22T202305112---T,TR ZANDVLIET PST 4,ELIA,400.0,400.0,2329.60833618014,1614.0000000000002,0.1371,11.268,-1.98113,1.2216,90.0,True,True
31T-0000-B-0004S,TR 1 400/220 Konjsko,HOPS,400.0,231.0,1000.0,692.8203230275509,0.194,15.6,-8.66,2.4,0.0,True,True
31T-0000-B-0005Q,TR 2 400/220 Konjsko,HOPS,400.0,231.0,1000.0,692.8203230275509,0.195,15.6,-7.9,2.4,0.0,True,True
