hour,name,tso,direction,fmax,ram,shadow_price,binding_direction
2024-08-29 16:00:00+00:00,Equality Constraint BE_AL-DE_AL 02,,,0.0,0.0,,
2024-08-29 16:00:00+00:00,Equality Constraint Core hubs 01,,,0.0,0.0,,
2024-08-29 16:00:00+00:00,Equality Constraint Core hubs 02,,,0.0,0.0,,
2024-08-29 17:00:00+00:00,External Constraint BE_AL_export,ELIA,,1000.0,1000.0,,
2024-08-29 17:00:00+00:00,External Constraint BE_AL_import,ELIA,,1000.0,1000.0,,
2024-08-29 17:00:00+00:00,External Constraint DE_AL_export,,,1000.0,1000.0,80.832325647,OPPOSITE
2024-08-29 17:00:00+00:00,External Constraint DE_AL_import,,,1000.0,1000.0,,
2024-08-29 17:00:00+00:00,Equality Constraint BE_AL-DE_AL 01,,,0.0,0.0,,
2024-08-29 17:00:00+00:00,Equality Constraint BE_AL-DE_AL 02,,,0.0,0.0,,
2024-08-29 17:00:00+00:00,Equality Constraint Core hubs 01,,,0.0,0.0,,
2024-08-29 17:00:00+00:00,Equality Constraint Core hubs 02,,,0.0,0.0,,
2024-08-29 18:00:00+00:00,External Constraint BE_AL_export,ELIA,,1000.0,1000.0,,
2024-08-29 18:00:00+00:00,External Constraint BE_AL_import,ELIA,,1000.0,1000.0,72.020922027,OPPOSITE
2024-08-29 18:00:00+00:00,External Constraint DE_AL_export,,,1000.0,1000.0,56.274090099,OPPOSITE
2024-08-29 18:00:00+00:00,External Constraint DE_AL_import,,,1000.0,1000.0,,
2024-08-29 18:00:00+00:00,Equality Constraint BE_AL-DE_AL 01,,,0.0,0.0,,
2024-08-29 18:00:00+00:00,Equality Constraint BE_AL-DE_AL 02,,,0.0,0.0,,
2024-08-29 18:00:00+00:00,Equality Constraint Core hubs 01,,,0.0,0.0,,
2024-08-29 18:00:00+00:00,Equality Constraint Core hubs 02,,,0.0,0.0,,
2024-08-29 19:00:00+00:00,External Constraint BE_AL_export,ELIA,,1000.0,1000.0,,
2024-08-29 19:00:00+00:00,External Constraint BE_AL_import,ELIA,,1000.0,1000.0,16.994371198,OPPOSITE
2024-08-29 19:00:00+00:00,External Constraint DE_AL_export,,,1000.0,1000.0,12.432642119,OPPOSITE
2024-08-29 19:00:00+00:00,External Constraint DE_AL_import,,,1000.0,1000.0,,
2024-08-29 19:00:00+00:00,Equality Constraint BE_AL-DE_AL 01,,,0.0,0.0,,
2024-08-29 19:00:00+00:00,Equality Constraint BE_AL-DE_AL 02,,,0.0,0.0,,
2024-08-29 19:00:00+00:00,Equality Constraint Core hubs 01,,,0.0,0.0,,
2024-08-29 19:00:00+00:00,Equality Constraint Core hubs 02,,,0.0,0.0,,
2024-08-29 20:00:00+00:00,External Constraint BE_AL_export,ELIA,,1000.0,1000.0,,
2024-08-29 20:00:00+00:00,External Constraint BE_AL_import,ELIA,,1000.0,1000.0,0.473401717,OPPOSITE
2024-08-29 20:00:00+00:00,External Constraint DE_AL_export,,,1000.0,1000.0,0.340398273,OPPOSITE
2024-08-29 20:00:00+00:00,External Constraint DE_AL_import,,,1000.0,1000.0,,
2024-08-29 20:00:00+00:00,Equality Constraint BE_AL-DE_AL 01,,,0.0,0.0,,
2024-08-29 20:00:00+00:00,Equality Constraint BE_AL-DE_AL 02,,,0.0,0.0,,
2024-08-29 20:00:00+00:00,Equality Constraint Core hubs 01,,,0.0,0.0,,
2024-08-29 20:00:00+00:00,Equality Constraint Core hubs 02,,,0.0,0.0,,
2024-08-29 21:00:00+00:00,External Constraint BE_AL_export,ELIA,,1000.0,1000.0,,
2024-08-29 21:00:00+00:00,External Constraint BE_AL_import,ELIA,,1000.0,1000.0,,
2024-08-29 21:00:00+00:00,External Constraint DE_AL_export,,,1000.0,1000.0,3.593031505,OPPOSITE
2024-08-29 21:00:00+00:00,External Constraint DE_AL_import,,,1000.0,1000.0,,
2024-08-29 21:00:00+00:00,Equality Constraint BE_AL-DE_AL 01,,,0.0,0.0,,
2024-08-29 21:00:00+00:00,Equality Constraint BE_AL-DE_AL 02,,,0.0,0.0,,
2024-08-29 21:00:00+00:00,Equality Constraint Core hubs 01,,,0.0,0.0,,
2024-08-29 21:00:00+00:00,Equality Constraint Core hubs 02,,,0.0,0.0,,
